Query,LOINC Code,Name,Component,System,Property,Measurement,Normalized_Score
bilirubin in plasma,33898-8,bilirubin conjugated indirect mass volume serum plasma,bilirubin glucuronidated bilirubin non glucuronidated,serum plasma,mass concentration,mass volume,0.58405316
bilirubin in plasma,33899-6,bilirubin conjugated indirect mole volume serum plasma,bilirubin glucuronidated bilirubin non glucuronidated,serum plasma,substance concentration,mole volume,0.56842566
bilirubin in plasma,50189-0,neonatal bilirubin panel mass volume serum plasma,neonatal bilirubin panel,serum plasma,mass concentration,mass volume,0.5593899
bilirubin in plasma,15153-0,deprecated indirect bilirubin mass volume serum plasma,bilirubin non glucuronidated,serum plasma,mass concentration,mass volume,0.5907873
bilirubin in plasma,1971-1,bilirubin indirect mass volume serum plasma,bilirubin non glucuronidated,serum plasma,mass concentration,mass volume,0.5827931
bilirubin in plasma,35192-4,bilirubin indirect mass mole volume serum plasma,bilirubin non glucuronidated,serum plasma,mass substance concentration,mass mole volume,0.57394505
bilirubin in plasma,14630-8,bilirubin indirect mole volume serum plasma,bilirubin non glucuronidated,serum plasma,substance concentration,mole volume,0.57563174
bilirubin in plasma,35672-5,bilirubin direct bilirubin total serum plasma,bilirubin glucuronidated bilirubin albumin bound bilirubin total,serum plasma,mfr,,0.56345683
bilirubin in plasma,43820-0,bilirubin direct presence serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,prthr,presence,0.55651784
bilirubin in plasma,34442-4,bilirubin conjugated bilirubin total serum plasma,bilirubin glucuronidated bilirubin total,serum plasma,mfr,,0.576038
bilirubin in plasma,1968-7,bilirubin direct mass volume serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,mass concentration,mass volume,0.5795989
bilirubin in plasma,35191-6,bilirubin direct mass mole volume serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,mass substance concentration,mass mole volume,0.5618145
bilirubin in plasma,14629-0,bilirubin direct mole volume serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,substance concentration,mole volume,0.5702923
bilirubin in plasma,18264-2,deprecated direct bilirubin mass volume serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,mass concentration,mass volume,0.58575076
bilirubin in plasma,34543-9,bilirubin direct total panel mass volume serum plasma,bilirubin direct total panel,serum plasma,mass concentration,mass volume,0.55916125
bilirubin in plasma,15152-2,bilirubin conjugated mass volume serum plasma,bilirubin glucuronidated,serum plasma,mass concentration,mass volume,0.5888754
bilirubin in plasma,29760-6,bilirubin conjugated mole volume serum plasma,bilirubin glucuronidated,serum plasma,substance concentration,mole volume,0.5643764
bilirubin in plasma,1975-2,bilirubin total mass volume serum plasma,bilirubin,serum plasma,mass concentration,mass volume,0.91020834
bilirubin in plasma,14631-6,bilirubin total mole volume serum plasma,bilirubin,serum plasma,substance concentration,mole volume,0.90344995
bilirubin in plasma,35194-0,bilirubin total mass mole volume serum plasma,bilirubin,serum plasma,mass substance concentration,mass mole volume,0.89331186
bilirubin in plasma,77137-8,bilirubin total mole volume serum plasma blood,bilirubin,serum plasma blood,substance concentration,mole volume,0.9010265
bilirubin in plasma,1970-3,bilirubin delta mass volume serum plasma,bilirubin albumin bound,serum plasma,mass concentration,mass volume,0.5697516
bilirubin in plasma,22665-4,bilirubin delta mole volume serum plasma,bilirubin albumin bound,serum plasma,substance concentration,mole volume,0.5569396
bilirubin in plasma,1969-5,bilirubin total renal clearance 24 hour urine serum plasma,bilirubin renal clearance,urine serum plasma,vrat,,0.5547252
bilirubin in plasma,58434-2,cell panel urine sediment,cell panel,urine sed,,,0.03551922
bilirubin in plasma,105113-5,epithelial cell area urine sediment,epithelial cell,urine sed,naric,area,0.051716246
bilirubin in plasma,105114-3,epithelial cell presence urine sediment,epithelial cell,urine sed,prthr,presence,0.046147075
bilirubin in plasma,105095-4,transitional cell area urine sediment,transitional cell,urine sed,naric,area,0.054805703
bilirubin in plasma,58438-3,cell type urine sediment light microscopy,cell,urine sed,type,type,0.050329342
bilirubin in plasma,105116-8,epithelial cell renal area urine sediment,epithelial cell renal,urine sed,naric,area,0.0615601
bilirubin in plasma,105115-0,epithelial cell non squamous area urine sediment,epithelial cell non squamous,urine sed,naric,area,0.05291501
