Query,LOINC Code,Name,Component,System,Property,Measurement,Normalized_Score
glucose in blood,33898-8,bilirubin conjugated indirect mass volume serum plasma,bilirubin glucuronidated bilirubin non glucuronidated,serum plasma,mass concentration,mass volume,0.0960186
glucose in blood,33899-6,bilirubin conjugated indirect mole volume serum plasma,bilirubin glucuronidated bilirubin non glucuronidated,serum plasma,substance concentration,mole volume,0.07944014
glucose in blood,50189-0,neonatal bilirubin panel mass volume serum plasma,neonatal bilirubin panel,serum plasma,mass concentration,mass volume,0.08515464
glucose in blood,15153-0,deprecated indirect bilirubin mass volume serum plasma,bilirubin non glucuronidated,serum plasma,mass concentration,mass volume,0.10780817
glucose in blood,1971-1,bilirubin indirect mass volume serum plasma,bilirubin non glucuronidated,serum plasma,mass concentration,mass volume,0.103179105
glucose in blood,35192-4,bilirubin indirect mass mole volume serum plasma,bilirubin non glucuronidated,serum plasma,mass substance concentration,mass mole volume,0.09913829
glucose in blood,14630-8,bilirubin indirect mole volume serum plasma,bilirubin non glucuronidated,serum plasma,substance concentration,mole volume,0.08874066
glucose in blood,35672-5,bilirubin direct bilirubin total serum plasma,bilirubin glucuronidated bilirubin albumin bound bilirubin total,serum plasma,mfr,,0.07151453
glucose in blood,43820-0,bilirubin direct presence serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,prthr,presence,0.06543797
glucose in blood,34442-4,bilirubin conjugated bilirubin total serum plasma,bilirubin glucuronidated bilirubin total,serum plasma,mfr,,0.08047502
glucose in blood,1968-7,bilirubin direct mass volume serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,mass concentration,mass volume,0.099897206
glucose in blood,35191-6,bilirubin direct mass mole volume serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,mass substance concentration,mass mole volume,0.08941594
glucose in blood,14629-0,bilirubin direct mole volume serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,substance concentration,mole volume,0.08674032
glucose in blood,18264-2,deprecated direct bilirubin mass volume serum plasma,bilirubin glucuronidated bilirubin albumin bound,serum plasma,mass concentration,mass volume,0.09855299
glucose in blood,34543-9,bilirubin direct total panel mass volume serum plasma,bilirubin direct total panel,serum plasma,mass concentration,mass volume,0.07893897
glucose in blood,15152-2,bilirubin conjugated mass volume serum plasma,bilirubin glucuronidated,serum plasma,mass concentration,mass volume,0.10518789
glucose in blood,29760-6,bilirubin conjugated mole volume serum plasma,bilirubin glucuronidated,serum plasma,substance concentration,mole volume,0.0858787
glucose in blood,1975-2,bilirubin total mass volume serum plasma,bilirubin,serum plasma,mass concentration,mass volume,0.09684206
glucose in blood,14631-6,bilirubin total mole volume serum plasma,bilirubin,serum plasma,substance concentration,mole volume,0.078392096
glucose in blood,35194-0,bilirubin total mass mole volume serum plasma,bilirubin,serum plasma,mass substance concentration,mass mole volume,0.086657956
glucose in blood,77137-8,bilirubin total mole volume serum plasma blood,bilirubin,serum plasma blood,substance concentration,mole volume,0.16574961
glucose in blood,1970-3,bilirubin delta mass volume serum plasma,bilirubin albumin bound,serum plasma,mass concentration,mass volume,0.090734035
glucose in blood,22665-4,bilirubin delta mole volume serum plasma,bilirubin albumin bound,serum plasma,substance concentration,mole volume,0.0711562
glucose in blood,1969-5,bilirubin total renal clearance 24 hour urine serum plasma,bilirubin renal clearance,urine serum plasma,vrat,,0.0766459
glucose in blood,104708-3,deprecated estimated average glucose mole volume blood,estimated average glucose,blood,substance concentration,mole volume,0.6423088
glucose in blood,2339-0,glucose mass volume blood,glucose,blood,mass concentration,mass volume,1.0
glucose in blood,15074-8,glucose mole volume blood,glucose,blood,substance concentration,mole volume,0.98313683
glucose in blood,40858-3,glucose mass volume capillary blood baseline,glucose baseline,bldc,mass concentration,mass volume,0.4499134
glucose in blood,41651-1,glucose mass volume arterial blood,glucose,blood group a,mass concentration,mass volume,0.9064926
glucose in blood,41652-9,glucose mass volume venous blood,glucose,blood group v,mass concentration,mass volume,0.9043828
glucose in blood,39481-7,glucose mole volume arterial blood,glucose,blood group a,substance concentration,mole volume,0.89248186
glucose in blood,51596-5,glucose mole volume capillary blood,glucose,bldc,substance concentration,mole volume,0.7840832
glucose in blood,39480-9,glucose mole volume venous blood,glucose,blood group v,substance concentration,mole volume,0.89072835
glucose in blood,87421-4,deprecated glucose mass volume blood pre meal,glucose pre meal,blood,mass concentration,mass volume,0.6391238
glucose in blood,49134-0,glucose mass volume blood 2 hour post dose glucose,glucose 2h post dose glucose,blood,mass concentration,mass volume,0.6424792
glucose in blood,104598-8,glucose mass volume arterial blood glucometer,glucose,blood group a,mass concentration,mass volume,0.9241832
glucose in blood,32016-8,glucose mass volume capillary blood,glucose,bldc,mass concentration,mass volume,0.79671025
glucose in blood,104597-0,glucose mass volume venous blood glucometer,glucose,blood group v,mass concentration,mass volume,0.922809
glucose in blood,47995-6,glucose mole volume cord blood,glucose,coord blood,substance concentration,mole volume,0.88601524
glucose in blood,101476-0,fasting glucose mole volume venous blood,glucose post cfst,blood group v,substance concentration,mole volume,0.5363527
glucose in blood,52041-1,blood glucose monitor attachment,blood glucose monitor attachment,patient,find,,0.42588463
glucose in blood,96594-7,glucose mass volume db,glucose,blood dot,mass concentration,mass volume,0.8943176
glucose in blood,5914-7,glucose presence blood test strip,glucose,blood,prthr,presence,0.9542845
glucose in blood,88365-2,glucose mass volume blood pre meal,glucose pre meal,blood,mass concentration,mass volume,0.6324869
glucose in blood,41653-7,glucose mass volume capillary blood glucometer,glucose,bldc,mass concentration,mass volume,0.81756777
glucose in blood,14743-9,glucose mole volume capillary blood glucometer,glucose,bldc,substance concentration,mole volume,0.8088655
glucose in blood,27353-2,glucose mean value mass volume blood estimated glycated hemoglobin,estimated average glucose,blood,mass concentration,mass volume,0.66335934
glucose in blood,53553-4,glucose mean value mole volume blood estimated glycated hemoglobin,estimated average glucose,blood,substance concentration,mole volume,0.6535011
glucose in blood,59813-6,glucose mole volume capillary blood glucometer 7 specimen,glucose 7 specimen,bldc,substance concentration,mole volume,0.45024684
glucose in blood,1556-0,fasting glucose mass volume capillary blood,glucose post cfst,bldc,mass concentration,mass volume,0.44755298
glucose in blood,1557-8,fasting glucose mass volume venous blood,glucose post cfst,blood group v,mass concentration,mass volume,0.5493757
glucose in blood,87422-2,glucose mass volume blood post meal,glucose post meal,blood,mass concentration,mass volume,0.6391715
glucose in blood,104655-6,glucose mass volume mixed venous blood,glucose,bldmv,mass concentration,mass volume,0.8044456
glucose in blood,100746-7,glucose mole volume mixed venous blood,glucose,bldmv,substance concentration,mole volume,0.78454405
glucose in blood,2340-8,glucose mass volume blood automated test strip,glucose,blood,mass concentration,mass volume,0.982718
glucose in blood,72516-8,glucose mole volume blood automated test strip,glucose,blood,substance concentration,mole volume,0.961376
glucose in blood,76629-5,fasting glucose mole volume blood,glucose post cfst,blood,substance concentration,mole volume,0.6338794
glucose in blood,41604-0,fasting glucose mass volume capillary blood glucometer,glucose post cfst,bldc,mass concentration,mass volume,0.4639641
glucose in blood,14770-2,fasting glucose mole volume capillary blood glucometer,glucose post cfst,bldc,substance concentration,mole volume,0.45410264
glucose in blood,97062-4,history high blood glucose,high blood glucose,patient,hx,,0.4388893
glucose in blood,74774-1,glucose mass volume serum plasma blood,glucose,serum plasma blood,mass concentration,mass volume,0.9066092
glucose in blood,77135-2,glucose mole volume serum plasma blood,glucose,serum plasma blood,substance concentration,mole volume,0.89999694
glucose in blood,2341-6,glucose mass volume blood test strip manual,glucose,blood,mass concentration,mass volume,0.9859207
glucose in blood,81637-1,glucose meter reference method correlation ratio serum plasma blood calculation,glucose meter reference method correlation,serum plasma blood,ratio,ratio,0.533458
glucose in blood,14760-3,glucose mole volume capillary blood 2 hour post meal,glucose 2h post meal,bldc,substance concentration,mole volume,0.43494064
glucose in blood,6689-4,glucose mass volume blood 2 hour post meal,glucose 2h post meal,blood,mass concentration,mass volume,0.6466198
glucose in blood,77145-1,fasting glucose mole volume serum plasma blood,glucose post cfst,serum plasma blood,substance concentration,mole volume,0.55079776
glucose in blood,13453-6,deprecated glucose mean value,glucose mean value,blood,amount concentration,,0.64497215
glucose in blood,77677-3,glucose mole volume serum plasma blood 2 hour post meal,glucose 2h post meal,serum plasma blood,substance concentration,mole volume,0.5429734
glucose in blood,104873-5,glucose dumping syndrome panel serum plasma blood,glucose dumping syndrome panel,serum plasma blood,,,0.53589666
glucose in blood,11047-8,glucose phosphate isomerase enzymatic activity volume red blood cell,glucose phosphate isomerase,red blood cells,cell concentration,enzymatic activity volume,0.5884886
glucose in blood,44050-3,glucose phosphate isomerase enzymatic activity mass red blood cell,glucose phosphate isomerase,red blood cells,ccnt,enzymatic activity mass,0.54995126
glucose in blood,104875-0,hematocrit volume fraction blood 30 minute post dose glucose,hematocrit 30m post dose glucose,blood,vfr,volume fraction,0.62512535
glucose in blood,104880-0,hematocrit volume fraction blood 3 hour post dose glucose,hematocrit 3h post dose glucose,blood,vfr,volume fraction,0.62430364
glucose in blood,79469-3,uridine diphosphate glucose 4 epimerase enzymatic activity mass red blood cell,uridine diphosphate glucose 4 epimerase,red blood cells,ccnt,enzymatic activity mass,0.54006064
glucose in blood,62851-1,phenx fasting plasma glucose diabetes screening blood draw protocol 140801,phenx fasting plasma glucose diabetes screening blood draw protocol 140801,patient,,,0.39812458
glucose in blood,104876-8,hematocrit volume fraction blood 1 hour post dose glucose,hematocrit 1h post dose glucose,blood,vfr,volume fraction,0.6224034
glucose in blood,104879-2,hematocrit volume fraction blood 2 5 hour post dose glucose,hematocrit 2 5h post dose glucose,blood,vfr,volume fraction,0.62204295
glucose in blood,104878-4,hematocrit volume fraction blood 2 hour post dose glucose,hematocrit 2h post dose glucose,blood,vfr,volume fraction,0.62212867
glucose in blood,62850-3,deprecated phenx measure fasting plasma glucose diabetes screening blood draw,phenx measure fasting plasma glucose diabetes screening blood draw,patient,,,0.39461598
glucose in blood,104877-6,hematocrit volume fraction blood 1 5 hour post dose glucose,hematocrit 1 5h post dose glucose,blood,vfr,volume fraction,0.6221055
glucose in blood,96045-0,osmotic fragility red blood cell 10 glucose 48 hour 37 degree component incubation,osmotic fragility 10 glucose 48h 37 deg component incubation,red blood cells,nfr,,0.5203417
glucose in blood,49502-8,glucose 6 phosphate dehydrogenase entitic catalytic activity blood,glucose 6 phosphate dehydrogenase,blood,entcat,entitic catalytic activity,0.6206595
glucose in blood,74542-2,pyruvate kinase glucose 6 phosphate dehydrogenase enzymatic activity ratio red blood cell,pyruvate kinase glucose 6 phosphate dehydrogenase,red blood cells,crto,enzymatic activity ratio,0.53582484
glucose in blood,32779-1,glucose 6 phosphatase enzymatic activity volume red blood cell,glucose 6 phosphatase,red blood cells,cell concentration,enzymatic activity volume,0.5583891
glucose in blood,2357-2,glucose 6 phosphate dehydrogenase enzymatic activity volume red blood cell,glucose 6 phosphate dehydrogenase,red blood cells,cell concentration,enzymatic activity volume,0.590433
glucose in blood,32546-4,glucose 6 phosphate dehydrogenase enzymatic activity mass red blood cell,glucose 6 phosphate dehydrogenase,red blood cells,ccnt,enzymatic activity mass,0.543607
glucose in blood,71593-8,glucose 6 phosphate dehydrogenase enzymatic activity substance red blood cell,glucose 6 phosphate dehydrogenase,red blood cells,csub,enzymatic activity substance,0.53975034
glucose in blood,33287-4,glucose 6 phosphate dehydrogenase presence db,glucose 6 phosphate dehydrogenase,blood dot,prthr,presence,0.49627393
glucose in blood,2356-4,glucose 6 phosphate dehydrogenase presence red blood cell,glucose 6 phosphate dehydrogenase,red blood cells,prthr,presence,0.52178204
glucose in blood,42319-4,glucose 6 phosphate dehydrogenase phenotype interpretation red blood cell,glucose 6 phosphate dehydrogenase phenotype,red blood cells,imp,interpretation,0.5190193
glucose in blood,74469-8,glucose 6 phosphate dehydrogenase pyruvate kinase ratio blood,glucose 6 phosphate dehydrogenase pyruvate kinase,blood,ratio,ratio,0.6142804
glucose in blood,58089-4,glucose 6 phosphate dehydrogenase newborn screen interpretation,glucose 6 phosphate dehydrogenase,blood dot,imp,,0.5052194
glucose in blood,49925-1,glucose 6 phosphate dehydrogenase enzymatic activity mass red blood cell glock mclean,glucose 6 phosphate dehydrogenase,red blood cells,ccnt,enzymatic activity mass,0.5536322
glucose in blood,49926-9,glucose 6 phosphate dehydrogenase enzymatic activity mass red blood cell method,glucose 6 phosphate dehydrogenase,red blood cells,ccnt,enzymatic activity mass,0.548523
glucose in blood,49266-0,glucose 6 phosphate dehydrogenase phenotype interpretation red blood cell narrative,glucose 6 phosphate dehydrogenase phenotype,red blood cells,imp,interpretation,0.5217001
glucose in blood,58091-0,glucose 6 phosphate dehydrogenase newborn screen panel,glucose 6 phosphate dehydrogenase newborn screen panel,blood dot,,,0.49858955
glucose in blood,58090-2,glucose 6 phosphate dehydrogenase newborn screening comment discussion,glucose 6 phosphate dehydrogenase newborn screening comment discussion,blood dot,txt,,0.50325507
glucose in blood,2360-6,glucose 6 phosphate dehydrogenase enzymatic activity volume leukocyte,glucose 6 phosphate dehydrogenase,wbc,cell concentration,enzymatic activity volume,0.45474482
glucose in blood,21680-4,g6pd gene mutation found identifier blood tissue molecular genetics method nominal,g6pd gene targeted mutation analysis,blood tissue,prid,identifier,0.14545743
glucose in blood,94231-8,g6pd gene full mutation analysis blood tissue sequencing,g6pd gene full mutation analysis,blood tissue,find,,0.13741721
glucose in blood,21681-2,g6pd gene mutation tested blood tissue molecular genetics method nominal,g6pd gene mutation tested,blood tissue,prid,,0.15045328
glucose in blood,54234-0,cell count diff panel gluc prot body fluid,cell count differential panel glucose protein,body fluid,,,0.42861506
glucose in blood,54230-8,cell count diff panel gluc prot cerebral spinal fluid,cell count differential panel glucose protein,cerebrospinal fluid,,,0.41365287
glucose in blood,49862-6,g6pc gene targeted mutation analysis blood tissue molecular genetics method,g6pc gene targeted mutation analysis,blood tissue,find,,0.13981447
glucose in blood,33857-4,sezary cell leukocyte blood manual count,sezary cell leukocyte,blood,nfr,,0.2397563
glucose in blood,14912-0,smudge cell leukocyte blood manual count,smudge cell leukocyte,blood,nfr,,0.24673279
glucose in blood,51586-6,cell leukocyte blood manual count,cell leukocyte,blood,nfr,,0.2434178
glucose in blood,24104-2,lymphoma cell leukocyte blood manual count,lymphoma cell leukocyte,blood,nfr,,0.24133086
glucose in blood,33837-6,malignant cell leukocyte blood manual count,malignant cell leukocyte,blood,nfr,,0.23768127
glucose in blood,51384-6,mononuclear cell leukocyte blood manual count,mononuclear cell leukocyte,blood,nfr,,0.2436953
glucose in blood,71664-7,smudge cell leukocyte pure number fraction blood manual count,smudge cell leukocyte,blood,nfr df,pure number fraction,0.24094288
glucose in blood,79426-3,plasma cell leukocyte blood manual count,plasma cell leukocyte,blood,nfr,,0.25400937
glucose in blood,44095-8,unidentified cell leukocyte blood manual count,unidentified cell leukocyte,blood,nfr,,0.24637839
glucose in blood,44096-6,unidentified cell leukocyte blood automated count,unidentified cell leukocyte,blood,nfr,,0.24659409
glucose in blood,58409-4,cell leukocyte blood automated count,cell leukocyte,blood,nfr,,0.24394515
glucose in blood,24106-7,hairy cell leukocyte blood manual count,hairy cell leukocyte,blood,nfr,,0.2417986
glucose in blood,69003-2,mononuclear cell atypical leukocyte blood manual count,mononuclear cell atypical leukocyte,blood,nfr,,0.24469562
glucose in blood,55377-6,mononuclear cell immature leukocyte blood manual count,mononuclear cell immature leukocyte,blood,nfr,,0.24089319
glucose in blood,40650-4,mesothelial cell leukocyte blood manual count,mesothelial cell leukocyte,blood,nfr,,0.24673328
glucose in blood,17788-1,large unstained cell leukocyte blood automated count,large unstained cell leukocyte,blood,nfr,,0.24328403
glucose in blood,74814-5,plasma cell centroblasts leukocyte blood manual count,plasma cell centroblasts leukocyte,blood,nfr,,0.24221177
glucose in blood,74820-2,plasma cell centrocytes leukocyte blood manual count,plasma cell centrocytes leukocyte,blood,nfr,,0.23734334
glucose in blood,51927-2,cell leukocyte bronchial specimen manual count,cell leukocyte,bronchial,nfr,,0.04323619
glucose in blood,75375-6,cell leukocyte sputum manual count,cell leukocyte,sputum,nfr,,0.056149278
glucose in blood,74396-3,large unstained cell leukocyte cord blood automated count,large unstained cell leukocyte,coord blood,nfr,,0.15310602
glucose in blood,95223-4,mononuclear cell leukocyte stem cell product manual count,mononuclear cell leukocyte,stem cell product,nfr,,0.054492064
glucose in blood,14385-9,mononuclear cell leukocyte gastric fluid manual count,mononuclear cell leukocyte,gast fluid,nfr,,0.06683738
glucose in blood,14381-8,mononuclear cell leukocyte peritoneal fluid manual count,mononuclear cell leukocyte,periton fluid,nfr,,0.05731045
glucose in blood,14380-0,mononuclear cell leukocyte pleural fluid manual count,mononuclear cell leukocyte,plr fluid,nfr,,0.055420708
glucose in blood,14383-4,mononuclear cell leukocyte semen manual count,mononuclear cell leukocyte,semen,nfr,,0.056448475
glucose in blood,40526-6,plasma cell leukocyte pericardial fluid manual count,plasma cell leukocyte,pericard fluid,nfr,,0.06250835
